"coefficient","mean","sd","q2.5","q50","q97.5"
"intercept",-3.08004867623333,0.0325933059750553,-3.144115385,-3.0794351,-3.0180407275
"TAAve",-0.0570525343393335,0.00752889404894795,-0.071782564425,-0.056810093,-0.042654467175
"TSAve",0.179106127686667,0.0103787855774053,0.158772468,0.17929295,0.1990829635
"TSHotweek",0.0399077932616333,0.00966073566325912,0.020953955575,0.0398960825,0.058873376
"PATot",0.0509750041493333,0.00555183809227891,0.04027744815,0.0509974665,0.061641981575
"PSTot",-0.111893651852667,0.0089648322387002,-0.1292980805,-0.111874715,-0.093885324
"aao",0.0775478146806668,0.0065419517305804,0.064997551425,0.077709469,0.090581962875
"pptconc",-0.000978123611602601,0.00816374590295237,-0.017021339725,-0.00092631533,0.01521165165
"spring",0.616064188939999,0.0348920889024515,0.54908688825,0.61514559,0.686112364
"summer",1.12202597243334,0.0329054896636065,1.0568912725,1.12218175,1.1874613625
"fall",0.785523888886665,0.0332393986567979,0.7207677895,0.78495593,0.84902469475
